Name,Price (new),Price (old),Price (original),Description,Sold,Discount,Discount Rate,Rating,Review Count,Author,Công ty phát hành,Loại bìa,Số trang,Nhà xuất bản,Ngày xuất bản,Kích thước,Phương thức giao hàng Seller Delivery,Bookcare,Dịch Giả,Ngôn ngữ,ISBN-13,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ (Made in),Sản phẩm có được bảo hành không?,Hình thức bảo hành,Thời gian bảo hành,Chất liệu,Phiên bản sách,ISBN-10
Thảm họa tuyết trắng,129500,185000,185000,"Một con dốc trượt tuyết đã bị cài bom.“Ta có thể kích nổ quả bom bất cứ lúc nào, từ bất cứ đâu.” Ngay trước thềm năm mới, một kẻ bí ẩn đã gửi thư đe dọa đến khu trượt tuyết và tuyên bố rằng hắn đã đặ...",82,55500,30,5.0,9,Higashino Keigo,Nhã Nam,Bìa mềm,364,Nhà Xuất Bản Hà Nội,2025-03-13 00:00:00,14 x 20.5 x 2 cm,,,,,,,,,,,,,,
Sách - Tứ Phần Luật San Bổ Yết Ma Huyền Ty Sao - BM,80750,95000,95000,"Sách - Tứ Phần Luật San Bổ Yết Ma Huyền Ty Sao - bìa mềm Luận rằng ba pháp học lấy giới làm nền tảng. Hai pháp trì do ""Tác"",', ""Trì"" mà tiến thủ. Không có táckhông lấy đâu mà truyền Trì (đâu biết...",4,14250,15,0.0,0,N/A,Công ty TNHH TM & DV Văn Hóa Hương Trang,Bìa mềm,,Nhà Xuất Bản Tôn Giáo,,,,,,,,,,,,,,,,
Ti nam 2 - Kẻ hai mặt,224000,320000,320000,"Sóng lớn ngập hành cung, tiệc mừng thọ ríu ran, tiếng nói cười thoắt chốc thành cảnh tang thương hỗn loạn. Nàng ái phi bị hành thích giữa thanh thiên bạch nhật, quan tri phủ chết ngạt trong chậu nước ...",48,96000,30,5.0,4,Châu Văn Văn,Nhã Nam,Bìa mềm,756,Nhà Xuất Bản Hà Nội,2025-03-13 00:00:00,14 x 20.5 x 3.8 cm,,,,,,,,,,,,,,
Đôi mắt của Mona,236600,338000,338000,"Đôi mắt của Mona là tiểu thuyết đầu tay của Thomas Schlesser, và đã bán được bản quyền cho 25 quốc gia trên thế giới trước cả khi được xuất bản tại Pháp.Năm mươi hai tuần: đó là khoảng thời gian còn ...",124,101400,30,5.0,2,Thomas schlesser,Nhã Nam,Bìa mềm,450,Nhà Xuất Bản Thế Giới,2025-03-13 00:00:00,15.5 x 24 x 3 cm,,,Châu Anh,,,,,,,,,,,
Hồ sơ mật the top secret season 0,47000,55000,55000,"Trong thế kỷ mới, những công nghệ tiên tiến ra đời đã giúp các điều tra viên phá những vụ án tưởng chừng như đi vào ngõ cụt. Phòng nghiên cứu pháp y số 9 hay còn gọi là “Số 9” - một đội điều tra đặc ...",66,8000,15,0.0,0,Reiko Shimizu,NXB Trẻ,Bìa mềm,280,NXB Trẻ,2025-02-28 11:13:19,,,,,,,,,,,,,,,
Sách - Thám Tử Lừng Danh Conan - Tập 105,24200,25000,25000,    Thám Tử Lừng Danh Conan - Tập 105   Ooka Momiji bị đe doạ đến tính mạng trên tàu shinkansen. Liệu quản gia Iori Muga và mọi người có thể giải cứu cô an toàn!?   Ran dẫn Heiji và các bạn tới m...,76,800,3,5.0,2,Gosho Aoyama,Nhà Xuất Bản Kim Đồng,Bìa mềm,,Nhà Xuất Bản Kim Đồng,2023-12-21 14:00:00,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Cách Sống,61380,99000,99000,"Cách sống giống như một cây gậy đập vào dòng chảy xiết của thời đại u mê. Tại sao tình trạng u ám bế tắc đó bao trùm toàn xã hội? đó pải chăng là do con người đánh mất phương hướng cuộc đời, không nhì...",4547,37620,38,4.8,302,Inamori Kazuo,Thái Hà,Bìa mềm,226,Nhà Xuất Bản Lao Động,2020-05-01 00:00:00,13 x 20.5 cm,,,Phạm Hữu Lợi,,,,,,,,,,Phiên bản thường,
Méthode Rose - Phương pháp hồng năm thứ nhất với đàn piano - Giáo trình dạy piano nổi tiếng của Pháp - File Audio đánh mẫu tặng kèm trên website,126000,195000,195000,"Méthode Rose – Phương pháp dạy piano nổi tiếng của PhápMéthode Rose là giáo trình dạy piano nổi tiếng của Pháp có từ thế kỷ XIX. Méthode Rose đã được biên soạn ra tiếng Anh, Tây Ban Nha, Bồ Đào Nha, ...",1122,69000,35,5.0,80,Ernest Van De Velde,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Bìa mềm,124,Nhà Xuất Bản Dân Trí,2024-07-08 00:00:00,29.5x20.5 cm,,Có,Hà Vân - Lê Dũng,,,,,,,,,,,
Sách Giáo Khoa Bộ Lớp 5 - Chân Trời Sáng Tạo - Sách Bài Học (Bộ 13 Cuốn) (Mỹ Thuật Bản 1) (Chuẩn),170900,170900,170900,    Sách Giáo Khoa Bộ Lớp 5 - Chân Trời Sáng Tạo - Sách Bài Học (Bộ 13 Cuốn) (Mỹ Thuật Bản 1) (Chuẩn)   Bao Gồm:                  STT      Tên sản phẩm                1      Tiếng Việt 5 ...,61,0,0,5.0,3,nhieu tac gia,Nhà xuất bản Giáo Dục,,,Nhà Xuất Bản Giáo Dục Việt Nam,,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Sách GỌI SỮA KHÔNG KHÓ,179000,179000,179000,"Khi mở trang sách này, có phải bạn đang đi tìm câu trả lời cho thắc mắc: Khi nào mình có sữa cho bé bú? Có cách nào gọi sữa nhanh không?Helen cũng đã từng có những câu hỏi như bạn và tìm ra giải pháp...",258,0,0,5.0,9,N/A,Nhà Xuất Bản Thanh Niên,,222,Nhà Xuất Bản Thanh Niên,2023-12-31 13:03:29,,,,,,,,,,,,,,,
Sapiens - Lược Sử Loài Người (Bản Bỏ Túi),116000,159000,159000,"Sapiens - Cuốn sách lịch sử nhân loại bán chạy hàng đầu thế giớiCuốn sách “Sapiens - lược sử loài người"" đã được xuất bản bằng tiếng Do Thái lần đầu vào năm 2011 và sau đó bằng tiếng Anh vào năm 2014...",649,43000,27,5.0,76,Yuval Noah Harari,Alphabooks,Bìa mềm,628,Nhà Xuất Bản Tri Thức,2024-04-15 00:00:00,12 x 18 cm,,,"Nguyễn Thủy Chung
Võ Minh Tuấn",,,,,,,,,,,
"Bộ luật Hình sự (hiện hành) (Bộ luật năm 2015, sửa đổi, bổ sung năm 2017)",113000,113000,113000,"Bộ luật Hình sự (hiện hành) (Bộ luật năm 2015, sửa đổi, bổ sung năm 2017) gồm 3 phần với 26 chương và 426 điều, quy định về tội phạm và hình phạt. Đây là văn bản nhất thể hóa của hai văn bản luật gồm ...",172,0,0,4.8,6,Quốc hội,NXB Chính trị Quốc gia và Sự thật,Bìa mềm,,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,,,,,,,,,,,,,,
TIỂU SỬ ELON MUSK - Bản thường: Bìa cứng áo ôm,358000,499000,499000,"Tiểu sử Elon Musk là cuộc khám phá về cuộc sống và công việc của một biểu tượng thời hiện đại, mang đến những hiểu biết sâu sắc về tâm trí của một người có tầm nhìn được thúc đẩy bởi sự theo đuổi khôn...",833,141000,28,4.8,71,Walter Isaacson,Alphabooks,Bìa cứng,756,Nhà Xuất Bản Công Thương,2023-11-01 00:00:00,16x24 cm,,,,,,,,,,,,,,
"Làm Cha Mẹ Tỉnh Thức - Chuyển Hóa Bản Thân, Trao Quyền Cho Con Cái",90890,149000,149000,"Giới thiệu tác giảTiến sĩ Shefali Tsabary nhận bằng tiến sĩ chuyên ngành Tâm lý lâm sàng, Đại học Columbia, New York. Bà được tiếp cận với quan điểm phương Đông từ rất sớm và lồng ghép quan điểm đó v...",7730,58110,39,5.0,834,Tiến sĩ Shefali Tsabary,Thái Hà,Bìa mềm,312,Nhà Xuất Bản Lao Động,2020-11-15 00:00:00,15.5 x 24 cm,,,Khánh Thủy,,,,,,,,,,,
Sách Tiếng Anh Giao Tiếp Bệnh Viện dành cho người mới bắt đầu - Tác giả BS. Đỗ Trung Kiên (Phiên bản mới nhất 2024),199000,249000,249000,"“Tiếng Anh Giao Tiếp Bệnh Viện dành cho người mới bắt đầu” “Các BS Việt Nam cực kỳ giỏi, không hề thua kém các BS nước ngoài, cái mà chúng ta đang thiếu chỉ là tiếng Anh để có thể đọc hiểu y văn thế ...",972,50000,20,5.0,40, Đỗ Trung Kiên,Nhà Xuất Bản Thế Giới,Bìa mềm,296,Nhà Xuất Bản Thế Giới,2023-10-16 11:23:27,,,,,,,,,,,,,,,
MANIFEST – 7 Bước Để Thay Đổi Cuộc Đời Bạn Mãi Mãi,59630,89000,89000,MANIFEST – 7 bước để thay đổi cuộc đời bạn mãi mãi“Ai đã từng nói với bạn rằng bạn không thể có tất cả. Tôi ở đây để nói với bạn rằng bạn có thể.”_ Roxie Nafousi _ Mở ra cánh cửa Manifest và giải ph...,2440,29370,33,5.0,142,Roxie Nafousi,Người Trẻ Việt,Bìa mềm,200,Nhà Xuất Bản Thế Giới,,14x20.5cm,,,Bạc Hà,,,,,,,,,,,
"Mùa hè không tên (Nguyễn Nhật Ánh) - Tặng kèm Bookmark, Tranh màu, Sổ note cho cả 2 phiên bản - Tặng thêm ngẫu nhiên 1 trong 2 Lót ly cho Bản bìa cứng",95000,130000,130000,"“Mùa hè không tên” là truyện dài mới nhất của nhà văn Nguyễn Nhật Ánh, với những câu chuyện tuổi thơ với vô số trò tinh nghịch, những thoáng thinh thích hồi hộp cùng vô vàn kỷ niệm. Để rồi khi những t...",5391,35000,27,5.0,458,Nguyễn Nhật Ánh,NXB Trẻ,Bìa mềm,292,NXB Trẻ,2023-09-22 00:00:00,13 x 20 cm,,,,,,,,,,,,,Phiên bản thường,
Ngân Hàng Tốt Nhất Thế Giới - Robin Speculand,250000,250000,250000,Sách hướng dẫn cách Chuyển đổi Số kết hợp với Góc nhìn Khách Hàng để đem lại Trải Nghiệm Xuất Sắc!Xuyên suốt quyển sách là câu chuyện từ Chiến Lược đến Thực Thi của ngân hàng DBS: từ Damn Bloody Slow...,487,0,0,4.5,12,N/A,NXB Thông Tin & Truyền Thông,Bìa mềm,208,Nhà Xuất Bản Thông Tin Và Truyền Thông,2023-07-20 20:11:42,,,,"Quang Minh, Pháp Trịnh",,,,,,,,,,,
Niềm vui của đứa trẻ khác biệt,195000,195000,195000,Bạn có phải là cha mẹ/giáo viên hay người trông trẻ có khác biệt xử lý cảm giác?Con bạn có đang được tham gia dịch vụ hoạt động trị liệu hay các phương pháp trị liệu nào khác không?Bạn có cảm thấy ...,150,0,0,5.0,15,N/A,NXB Thế Giới,Bìa cứng,475,Nhà Xuất Bản Thế Giới,2022-11-11 00:00:00,,,,Nguyễn Thị Thanh Ngọc,,,,,,,,,,,
Combo Sách Giáo Trình Chuẩn HSK 1 - Sách Bài Học Và Bài Tập (Bộ 2 Cuốn),259800,356000,356000,"Combo Sách Giáo Trình Chuẩn HSK 1 - Sách Bài Học Và Bài Tập (Bộ 2 Cuốn) (Tái bản 2023)1. Giáo Trình Chuẩn HSK 1 - Sách Bài TậpĐược chia thành 6 cấp độ với tổng cộng 18 cuốn,Giáo trình chuẩn HSKcó...",1281,96200,27,5.0,83,Khương Lệ Bình,Cty Nhân Trí Việt,,,Nhà Xuất Bản Tổng hợp TP.HCM,,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Để Con Được Ốm,84000,120000,120000,"Để Con Được Ốm“Để con được ốm cần có sự kiên nhẫn giải thích hay thuyết phục của bác sĩ cùng sự thông hiểu và hợp tác từ phía gia đình bé. Đôi khi, sự hợp tác và hiểu biết của phụ huynh còn quan trọ...",3658,36000,30,5.0,105,Uyên Bùi,Nhã Nam,Bìa cứng,316,Nhà Xuất Bản Thế Giới,2022-07-07 00:00:00,"14 x 20,5cm",,,,,,,,,,,,,Phiên bản thường,
Dạy con làm giàu - Tập 11 - Trường dạy kinh doanh cho những người thích giúp đỡ người khác (Tái Bản 2022),60000,80000,80000,"Ở quyển sách này, tác giả tập trung giải thích và mở rộng những giá trị bí ẩn của hình thức kinh doanh tiếp thị qua mạng, và kinh doanh hàng đa cấp. Theo tác giả, đây là hình thức kinh doanh sáng tạo,...",1673,20000,25,5.0,55,Robert T. Kiyosaki – Sharon L. Lechter,NXB Trẻ,Bìa mềm,228,NXB Trẻ,2022-08-01 00:00:00,14 x 20 cm,,,Nguyễn Thị Kim Linh,,,,,,,,,,Phiên bản thường,
Không Diệt Không Sinh Đừng Sợ Hãi (TB5),71500,110000,110000,"Nhiều người trong chúng ta tin rằng cuộc đời của ta bắt đầu từ lúc chào đời và kết thúc khi ta chết. Chúng ta tin rằng chúng ta tới từ cái Không, nên khi chết chúng ta cũng không còn lại gì hết. Và ch...",29406,38500,35,5.0,1849,Thích Nhất Hạnh,Saigon Books,Bìa mềm,224,Nhà Xuất Bản Thế Giới,2022-06-01 00:00:00,20.5 x 13 cm x 1.2,,,,,,,,,,,,,Phiên bản thường,
Nhà Lãnh Đạo Không Chức Danh,77000,105000,105000,"Suốt hơn 15 năm, Robin Sharma đã thầm lặng chia sẻ với những công ty trong danh sách Fortune 500 và nhiều người siêu giàu khác một công thức thành công đã giúp ông trở thành một trong những nhà cố vấn...",4443,28000,27,5.0,171,Robin Sharma,NXB Trẻ,Bìa mềm,178,NXB Trẻ,2022-06-06 00:00:00,10 x 14.5 cm,,,Nguyễn Minh Thiên Kim,,,,,,,,,,Phiên bản thường,
Thuật Xử Thế Của Người Xưa (Tái Bản 2021),52200,55000,55000,"Thuật xử thế của người xưa thông qua những điển tích Trung Hoa để rút ra những bài học uyên thâm và đầy ngụ ý, nhằm hướng người đọc đến những giá trị chân thiện mỹ, góp phần giáo dục đạo đức lối ...",148,2800,5,5.0,25,Thu Giang Nguyễn Duy Cần,NXB Trẻ,,,NXB Trẻ,,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Siêu Tập Trung (Tái Bản),91000,140000,140000,"Sự chú ý là yếu tố quan trọng bậc nhất để trở nên hữu ích, sáng tạo và hạnh phúc – trong công việc và cả trong cuộc sống. Đây là một kỹ năng thiết yếu trong thời hiện đại, khi công việc đòi hỏi phải t...",1936,49000,35,4.8,242,Chris Bailey,Saigon Books,Bìa mềm,308,Nhà Xuất Bản Hồng Đức,2021-03-01 00:00:00,14.5 x 20.5 cm,,,Trịnh Ngọc Minh,,,,,,,,,,Phiên bản thường,
Chiến Binh Cầu Vồng (Tái Bản 2020),87200,109000,109000,"Chiến Binh Cầu Vồng (Tái Bản 2020)Một tác phẩm có tầm ảnh hưởng sâu rộng nhất Indonesia“Thầy Harfan và cô Mus nghèo khổ đã mang đến cho tôi tuổi thơ đẹp nhất, tình bạn đẹp nhất, và tâm hồn phong phú,...",718,21800,20,4.8,123,Andrea Hirata,Nhã Nam,Bìa mềm,428,Nhà Xuất Bản Hội Nhà Văn,2020-04-01 00:00:00,14 x 20.5 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
21 Bài Học Cho Thế Kỷ 21,171300,209000,209000,"Sau khi tìm hiểu quá khứ và tương lai của nhân loại qua hai cuốn sách gây tiếng vang là Sapiens và Homo deus, Yuval Noah Harari đi sâu vào các vấn đề “ngay tại đây” và “ngay lúc này”, tức các sự kiện ...",509,37700,18,5.0,93,Yuval Noah Harari,Nhã Nam,Bìa mềm,434,,2019-09-01 00:00:00,15.5 x 24 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Một Đời Như Kẻ Tìm Đường,143500,175000,175000,"Hai cuốn sách trước của GS. Phan Văn Trường,  “Một Đời Thương Thuyết” và “Một Đời Quản Trị”, là sự chắt lọc từ những trải nghiệm trong suốt nhiều năm tháng nghề nghiệp của bản thân. Tuy nhiên, đến với...",1827,31500,18,5.0,243,Phan Văn Trường,NXB Trẻ,Bìa mềm,416,,2019-09-01 00:00:00,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Hoàng Tử Bé (Tái Bản 2019),60000,75000,75000,"Hoàng tử bé được viết ở New York trong những ngày tác giả sống lưu vong và được xuất bản lần đầu tiên tại New York vào năm 1943, rồi đến năm 1946 mới được xuất bản tại Pháp. Không nghi ngờ gì, đây là ...",1834,15000,20,5.0,315,Antoine De Saint-Exupéry,Nhã Nam,Bìa mềm,102,Nhà Xuất Bản Hội Nhà Văn,2019-05-01 00:00:00,15 x 23 cm,Nhà bán giao hàng cho khách hàng,,Trác Phong,,,,,,,,,,,
Lược Sử Nước Việt Bằng Tranh: Viet Nam – A Brief History In Pictures (Tái Bản 2019),160700,196000,196000,"Lược Sử Nước Việt Bằng Tranh: Viet Nam – A Brief History In Pictures (Tái Bản 2019)Dòng sử Việt xuôi từ thượng nguồn lịch sử, thuở cha Lạc Long Quân kết duyên cùng mẹ Âu Cơ. Từ quá khứ xa xưa đẫm màu...",482,35300,18,5.0,88,Huyền Trang,Nhà Xuất Bản Kim Đồng,Bìa mềm,100,,2019-04-01 00:00:00,30 x 24 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,81000,90000,90000,"IKIGAI là tập hợp nhiều câu chuyện đời, chuyện nghề giản dị, lý giải tường minh năm điều cốt lõi của ikigai –triết lý sống mang lại hạnh phúc và trường thọ của người Nhật:Bắt đầu từ những việc nhỏ ...",181,9000,10,4.8,17,Ken Mogi,Nhã Nam,Bìa mềm,199,,2019-01-01 00:00:00,<p>14 x 20.5 cm</p>,Nhà bán giao hàng cho khách hàng,,Vũ Thị Nhân Hậu,,,,,,,,,,,
Suối Nguồn (Tái Bản),278250,380000,380000,Tác phẩm đứng đầu bảng xếp hạng những tiểu thuyết hay nhất thế kỷ 20 do độc giả bình chọn (theo điều tra của New York Time)Đã bán được 6 triệu bản trong hơn 60 năm qua kể từ khi xuất bản lần đầu (năm...,13284,101750,27,4.8,1478,Ayn Rand,NXB Trẻ,Bìa mềm,1200,NXB Trẻ,2018-12-01 00:00:00,17 x 24 cm,,,Nhiều dịch giả,,,,,,,,,,Phiên bản thường,
Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),94500,105000,105000,"Điều Kỳ Diệu Của Tiệm Tạp HóaMột đêm vội vã lẩn trốn sau phi vụ khoắng đồ nhà người, Atsuya, Shota và Kouhei đã rẽ vào lánh tạm trong một căn nhà hoang bên con dốc vắng người qua lại. Căn nhà có vẻ k...",14,10500,10,0.0,0,Higashino Keigo,Nhã Nam,Bìa mềm,358,Nhà Xuất Bản Hội Nhà Văn,2018-07-07 09:10:15,<p>14 x 20.5 cm</p>,,,,,,,,,,,,,,
Bà Ngoại Tôi Gửi Lời Xin Lỗi,139000,190000,190000,"Bà Ngoại Tôi Gửi Lời Xin LỗiVẫn mang giọng văn hài hước và kỹ thuật thắt mở nút gây kịch tính nhà nghề, “Bà ngoại tôi gửi lời xin lỗi” của cùng tác giả cuốn “Người đàn ông mang tên Ove” chứa đựng mạc...",1286,51000,27,4.8,87,Fredrik Backman,NXB Trẻ,Bìa mềm,514,NXB Trẻ,2018-01-03 00:00:00,13 x 20 cm,,,Hoàng Anh,,,,,,,,,,Phiên bản thường,
Khi Hơi Thở Hóa Thinh Không,79000,109000,109000," Khi Hơi Thở Hóa Thinh Không  là tự truyện của một bác sĩ bị mắc bệnh ung thư phổi. Trong cuốn sách này, tác giả đã chia sẻ những trải nghiệm từ khi mới     bắt đầu học ngành y, tiếp xúc với bệnh nhân...",62069,30000,28,4.7,2291,Paul Kalanithi,Omega Plus,Bìa mềm,236,Nhà Xuất Bản Dân Trí,2017-07-26 00:00:00,"14 x 20,5 cm",,,Trần Thanh Hương,,,,,,,,,,Phiên bản thường,
Thiên Quan Tứ Phúc - Tập 6 ( Bản Hoạt Hình),135000,179000,179000,"Sau hành trình khám phá bí ẩn ải Bán Nguyệt, Tạ Liên chính thức xác nhận thân phận thật sự của Tam Lang: Hắn chính là Quỷ vương cấp Tuyệt mà ai ai cũng phải kiêng dè - Hoa Thành. Dù vậy, Tạ Liên vẫn ...",67,44000,25,4.6,5,Mặc Hương Đồng Khứu,Daisy Comics,Bìa mềm,272,Nhà Xuất Bản Dân Trí,2025-06-06 00:00:00,14.5 x 20.5 cm,,Có,Tố Tố,,,,,,,,,,,
Sách - Hướng dẫn kê khai thuế dành cho dân kế toán và nhà bán hàng,139000,139000,139000,"1. Sách - Hướng dẫn kê khai thuế dành cho dân kế toán và nhà bán hàngBộ sách chính là hướng dẫn chi tiết giúp bạn tự tin kê khai thuế dễ dàng nhanh gọn, trang bị kiến thức về thuế một cách chắc chắn,...",15,0,0,0.0,0,N/A,MASTERBOOK,,,Nhà Xuất Bản Dân Trí,,,,,,,,,,,,,,,,
Dấu Ấn Hoàng Gia - Tập 23,27000,30000,30000,"“Tương truyền, khi chòm sao Sopdet xuất hiện ở Ai Cập ta, một thiếu nữ hoàng kim tỏa hào quang rực rỡ sẽ hiện thân bên bờ sông Nile... Nàng là con gái nữ thần sông Nile Hapi. Với dung mạo kiều diễm tự...",45,3000,10,4.8,4,Nhiều tác giả,Nhà Xuất Bản Kim Đồng,Bìa mềm,216,Nhà Xuất Bản Kim Đồng,,11.3x17.6 cm,,,,,,,,,,,,,,
Ma Đạo Tổ Sư - Tập 9,134250,179000,179000,"“Ta muốn báo thù. Nhưng… ta mất kim đan rồi, sao có thể báo thù được đây?”Khi ánh lửa đỏ rực thiêu rụi Liên Hoa Ổ, cũng là lúc bi kịch chính thức bắt đầu… Những ngày tháng yên bình chấm dứt, cả Gian...",80,44750,25,5.0,12,Mặc Hương Đồng Khứu,Daisy Comics,Bìa mềm,228,Nhà Xuất Bản Dân Trí,2025-05-12 00:00:00,14.5 x 20.5 cm,,,,,,,,,,,,,,
Dấu Ấn Hoàng Gia – Tập 22,27000,30000,30000,"“Tương truyền, khi chòm sao Sopdet xuất hiện ở Ai Cập ta, một thiếu nữ hoàng kim tỏa hào quang rực rỡ sẽ hiện thân bên bờ sông Nile... Nàng là con gái nữ thần sông Nile Hapi. Với dung mạo kiều diễm tự...",62,3000,10,5.0,3,Chieko Hosokawa & Fūmin,Nhà Xuất Bản Kim Đồng,Bìa mềm,216,Nhà Xuất Bản Kim Đồng,,"11,3x17,6 cm",,,,,,,,,,,,,,
Dragon Quest - Cuộc Phiêu Lưu Của Dũng Sĩ Dai - Tập 6: Kị Sĩ Rồng I [Tặng Kèm Postcard],62100,69000,69000,Dai cùng các đồng đội đã lên đường đến Bengarna để tìm vũ khí mới và giải cứu thị trấn khỏi sự tấn công của bầy rồng. Tuy nhiên những người dân sống ở đây lại tỏ ra sợ hãi trước thứ sức mạnh kì lạ của...,64,6900,10,5.0,4,Yuji Horii,Nhà Xuất Bản Kim Đồng,Bìa mềm,272,Nhà Xuất Bản Kim Đồng,,"11,3x17,6 cm",,,,,,,,,,,,,,
The Mindful Body - Sức mạnh tâm trí,143000,220000,220000,"Sức mạnh tâm trí - Chìa khóa chăm sóc sức khỏe từ bên trong Liệu giữa tâm trí và sức khỏe có một sợi dây vô hình gắn kết, hay chúng chỉ đơn giản là hai thực thể riêng biệt đang cùng tồn tại? Có, có c...",38,77000,35,0.0,0,ELLEN J. LANGER,Saigon Books,Bìa mềm,296,Nhà Xuất Bản Thế Giới,2025-04-20 00:00:00,"15,5 cm x 23,5 cm",,,,,,,,,,,,,,
Nghịch lý 13,181300,259000,259000,"13 giờ, 13 phút, 13 giây, con người biến mất.Trong thành phố Tokyo hoang vắng chỉ còn lại mười ba người. Mười ba con người đủ già trẻ nam nữ, với đủ loại hoàn cảnh và câu chuyện khác nhau. Tại sao họ...",94,77700,30,5.0,6,Higashino Keigo,Nhã Nam,Bìa mềm,560,Nhà Xuất Bản Thế Giới,2025-03-13 00:00:00,14 x 20.5 x 2.8 cm,,,Lan Bình,,,,,,,,,,,
Không có đá quá mềm - Tinh thần con người là không thể bẻ gãy,72000,98000,98000,"Không có đá quá mềm - Tinh thần con người là không thể bẻ gãyĐây là một quyển sách mà bạn cần đọc chậm rãi, cẩn trọng bằng cả ánh mắt lẫn trái tim. Đọc chậm để hiểu thêm về một thế giới yên lặng mà ...",106,26000,27,4.7,3,nhieu tac gia,NXB Trẻ,Bìa mềm,292,NXB Trẻ,,,,,,,,,,,,,,,,
Sách Chăm Sóc Bản Thân Thật Sự - First News,118400,148000,148000,"CHĂM SÓC BẢN THÂN THẬT SỰĐể không còn chạy theo những phương pháp chữa lành sáo rỗngNgày nay, khi nói đến “chăm sóc bản thân”, nhiều người nghĩ ngay đến những buổi spa thư giãn, khóa học yoga hay nh...",64,29600,20,5.0,1,Pooja Lakshmin,FIRST NEWS,Bìa mềm,304,Nhà Xuất Bản Dân Trí,2024-12-13 00:00:00,,,,,,,,,,,,,,,
TỘI ÁC VÀ HÌNH PHẠT - Tái bản lần 5 - Bìa cứng,306000,399000,399000,"Raskolnikov, một cựu sinh viên luật, sống ở St. Petersburg trong sự nghèo đói, túng thiếu. Một mặt, chàng là một thanh niên lương thiện, tốt bụng; mặt khác, chàng nung nấu một niềm tin rằng mình thuộc...",462,93000,23,5.0,69,Fyodor Dostoevsky,Phương Nam Book,Bìa cứng,726,Nhà Xuất Bản Văn Học,2023-06-06 00:00:00,25x17 cm,,,Cao Xuân Hạo,,,,,,,,,,Phiên bản thường,
"Não, Ruột Và Vi Khuẩn",146730,219000,219000,"TÁC GIẢ: Emeran Mayer, MDDịch giả: BS, Trần Văn KhaTHÔNG TIN XUẤT BẢN:Giá bìa: 219.000Kích thước: 13x20,5Số trang: 460Mã EAN: 8936066699747NXB liên kết: NXB Dân TríSách do Công ty TNHH Văn hóa...",2,72270,33,0.0,0,N/A,1980 Books,Bìa mềm,460,Nhà Xuất Bản Dân Trí,2024-11-01 08:14:47,,,,,,,,,,,,,,,
Sự Trỗi Dậy Và Suy Tàn Của Đế Chế Thứ 2 (Lịch Sử Đế Quốc Đức (1871-1918),118000,168000,168000,Giới thiệu tác giảKatja Hoyer là một nhà sử học người Anh gốc Đức. Cô sinh ra ở Đông Đức và học lịch sử tại Đại học Friedrich Schiler ở thành phố Jena. Cô là thành viên của Hiệp hội Lịch sử Hoàng gi...,36,50000,30,5.0,4,Katja Hoyer,Bách Việt,Bìa mềm,312,Nhà Xuất Bản Dân Trí,2024-09-25 00:00:00,14.5x20.5,,,Nguyễn Minh Tuấn,,,,,,,,,,,
Vẻ Đẹp Của Cảnh Sắc Tầm Thường,152750,235000,235000,"Giới thiệu sách“Vẻ đẹp của cảnh sắc tầm thường - Hay vì sao chúng ta cần thay đổi cách thưởng thức thiên nhiên?” là tác phẩm mới nhất của tác giả Đặng Hoàng Giang. Trong 9 năm qua, tác giả Đặng Hoàng...",960,82250,35,5.0,46,Đặng Hoàng Giang,Alphabooks,Tùy chọn phiên bản bìa cứng hoặc bìa mềm,400,Nhà Xuất Bản Hội Nhà Văn,,14.5x20.5cm,,Có,,,,,,,,,,,,
Deep Work - Làm Ra Làm Chơi Ra Chơi -  Tái Bản Mới Nhất,122000,159000,159000,"Giới thiệu Làm Ra Làm, Chơi Ra ChơiĐã bao giờ bạn ngồi xuống để làm việc và sau đó, không hề nhận ra mình lại kết thúc bằng việc dành một (vài) tiếng đồng hồ lướt mạng xã hội, tin tức? Tất cả chúng t...",1472,37000,23,4.8,134,Cal Newport,Alphabooks,Bìa mềm,356,Nhà Xuất Bản Thanh Niên,2019-07-01 00:00:00,13 x 20.5 cm,,,,,,,,,,,,,,
