Name,Price (new),Price (old),Price (original),Description,Sold,Discount,Discount Rate,Rating,Review Count,Author,Công ty phát hành,Ngày xuất bản,Loại bìa,Phương thức giao hàng Seller Delivery,Nhà xuất bản,Phiên bản sách,Kích thước,Dịch Giả,Số trang,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ (Made in),Chất liệu,Sản phẩm có được bảo hành không?,Bookcare,Ngôn ngữ
Những Quy Luật Của Bản Chất Con Người,246000,300000,300000,"Robert Greene, tác giả rất được ưa chuộng do New York Times bình chọn của các tác phẩm 48 nguyên tắc chủ chốt của quyền lực; 33 chiến lược của chiến tranh; Nghệ thuật quyến rũ; Ng...",1185,54000,18,4.8,196,Robert Greene,NXB Trẻ,2020-05-22 11:17:19,Bìa mềm,Nhà bán giao hàng cho khách hàng,NXB Trẻ,,15.5x23cm,,884,,,,,,,
48 Nguyên Tắc Chủ Chốt Của Quyền Lực (Tái Bản 2020),160000,200000,200000,"Quyền lực có sức hấp dẫn vô cùng mạnh mẽ đối với con người trong mọi thời, ở mọi nơi, với mọi giai tầng. Lịch sử xét cho cùng là cuộc đấu tranh triền miên để giành cho bằng được quyền lực cai trị của ...",727,40000,20,4.8,82,Robert Greene,NXB Trẻ,,,Nhà bán giao hàng cho khách hàng,NXB Trẻ,,,,,,,,,,,
Tuổi Thơ Dữ Dội - Tập 1 (Tái Bản),64000,80000,80000,"“Tuổi Thơ Dữ Dội” là một câu chuyện hay, cảm động viết về tuổi thơ. Sách dày 404 trang mà người đọc không bao giờ muốn ngừng lại, bị lôi cuốn vì những nhân vật ngây thơ có, khôn ranh có, anh hùng có, ...",330,16000,20,5.0,53,Phùng Quán,Nhà Xuất Bản Kim Đồng,2019-05-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,,,13.5 x 20.5 cm,,400,,,,,,,
Sách Đi Tìm Lẽ Sống (Tái Bản ),59840,88000,88000,"Đi Tìm Lẽ SốngĐi tìm lẽ sống của Viktor Frankl là một trong những quyển sách kinh điển của thời đại. Thông thường, nếu một quyển sách chỉ có một đoạn văn, một ý tưởng có sức mạnh thay đổi cuộc sống c...",23531,28160,32,4.8,2491,Viktor Emil Frankl,First News - Trí Việt,2019-04-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Tổng hợp TP.HCM,Phiên bản thường,14.5 x 20.5 cm,Thanh Thảo,224,,,,,,,
Đàn Ông Sao Hỏa Đàn Bà Sao Kim,144000,188000,188000,"Ngày xửa ngày xưa, những người sao Hỏa và sao Kim đã gặp gỡ, yêu nhau và sống hạnh phúc bởi họ tôn trọng và chấp nhận mọi điều khác biệt. Rồi họ đến Trái Đất và chứng lãng quên đã xảy ra: Họ quên rằng...",53517,44000,23,4.8,4202,John Gray,KNBooks,2019-01-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Phụ Nữ Việt Nam,Phiên bản thường,14.5 x 20.5 cm,Nguyễn Thanh Nhàn,488,,,,,,,
Suối Nguồn (Tái Bản),253000,380000,380000,Tác phẩm đứng đầu bảng xếp hạng những tiểu thuyết hay nhất thế kỷ 20 do độc giả bình chọn (theo điều tra của New York Time)Đã bán được 6 triệu bản trong hơn 60 năm qua kể từ khi xuất bản lần đầu (năm...,13270,127000,33,4.8,1476,Ayn Rand,NXB Trẻ,2018-12-01 00:00:00,Bìa mềm,,NXB Trẻ,Phiên bản thường,17 x 24 cm,Nhiều dịch giả,1200,,,,,,,
Dạy Con Làm Giàu (Tập 1) - Để Không Có Tiền Vẫn Tạo Ra Tiền - Cha Giàu Cha Nghèo (Tái Bản),61100,80000,80000,"Một quốc gia có thể tồn tại như thế nào nếu việc dạy trẻ con quản lý tiền bạc vẫn là trách nhiệm của phụ huynh, mà hầu hết họ không có nhiều kiến thức về vấn đề này?Chúng ta phải làm gì để thay đổi s...",38469,18900,24,4.8,3574,Robert T. Kiyosaki,NXB Trẻ,2018-11-29 09:00:19,Bìa mềm,,NXB Trẻ,Phiên bản thường,<p>15 x 20.5 cm</p>,Thiên Kim,193,,,,,,,
Người Đua Diều (Tái Bản 2018),89679,129000,129000,"Người Đua Diều (Tái Bản 2018)Câu chuyện là lời tự thuật của nhà văn người Mỹ gốc Afghanistan Amir về những năm tháng tuổi thơ đầy niềm vui cũng như lỗi lầm, về những ngày trôi dạt trên đất khách rồi ...",22525,39321,30,4.8,2691,Khaled Hosseini,Nhã Nam,2018-09-20 00:00:00,Bìa mềm,,Nhà Xuất Bản Hội Nhà Văn,Phiên bản thường,14 x 20.5 cm,Nguyễn Bản,460,,,,,,,
90% Trẻ Thông Minh Nhờ Cách Trò Chuyện Đúng Đắn Của Cha Mẹ,30400,39000,39000,"90% Trẻ Thông Minh Nhờ Cách Trò Chuyện Đúng Đắn Của Cha MẹBạn có bao giờ thốt ra những câu dù biết là không nên nói như  “Còn lề mề đến bao giờ nữa hả?” hay “Chẳng được cái trò trống gì, đưa đây xem ...",1220,8600,22,4.7,73,Urako Kanamori,Nhà Xuất Bản Kim Đồng,2018-08-24 19:24:03,Bìa mềm,Nhà bán giao hàng cho khách hàng,,,,,176,,,,,,,
Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),94500,105000,105000,"Điều Kỳ Diệu Của Tiệm Tạp HóaMột đêm vội vã lẩn trốn sau phi vụ khoắng đồ nhà người, Atsuya, Shota và Kouhei đã rẽ vào lánh tạm trong một căn nhà hoang bên con dốc vắng người qua lại. Căn nhà có vẻ k...",14,10500,10,0.0,0,Higashino Keigo,Nhã Nam,2018-07-07 09:10:15,Bìa mềm,,Nhà Xuất Bản Hội Nhà Văn,,<p>14 x 20.5 cm</p>,,358,,,,,,,
​Liễu Phàm Tứ Huấn (Tái Bản 2018),43400,59000,59000,"​Liễu Phàm Tứ Huấn (Tái Bản 2018)Là cuốn sách được lưu truyền rộng rãi trong dân gian Trung Quốc từ bao đời nay. Liễu Phàm tiên sinh là bậc học rộng, ngay từ nhỏ đã say mê nghiên cứu sách vở, sau đỗ ...",5104,15600,26,4.8,279,Liễu Phàm,Thái Hà,2018-06-13 00:00:00,Bìa mềm,,Nhà Xuất Bản Lao Động,,13 x 20.5 cm,,141,,,,,,,
Vu Lan Bàn Về Lý Luận Của Việc Siêu Độ,7000,7000,7000,"Vu Lan Bàn Về Lý Luận Của Việc Siêu Độ Vu lan bàn về lý luận của việc siêu độ Tháng Bảy âm lịch là tháng cô hồn. Rất nhiều quỷ quái trong âm gian địa phủ xuất hiện ở nhân gian. Vì vậy, trong tháng n...",161,0,0,5.0,1,Hòa Thượng Tịnh Không,Công Ty TNHH TM - DV Chính Thông,2016-06-30 00:00:00,Bìa mềm,,Nhà Xuất Bản Phương Đông,,13 x 20.5 cm,,45,,,,,,,
Dấu Ấn Hoàng Gia - Tập 24,30000,30000,30000,"“Tương truyền, khi chòm sao Sopdet xuất hiện ở Ai Cập ta, một thiếu nữ hoàng kim tỏa hào quang rực rỡ sẽ hiện thân bên bờ sông Nile... Nàng là con gái nữ thần sông Nile Hapi. Với dung mạo kiều diễm tự...",34,0,0,5.0,4,Chieko Hosokawa & Fūmin,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,Nhà Xuất Bản Kim Đồng,,"11,3x17,6 cm",,216,,,,,,,
Dấu Ấn Hoàng Gia - Tập 23,27000,30000,30000,"“Tương truyền, khi chòm sao Sopdet xuất hiện ở Ai Cập ta, một thiếu nữ hoàng kim tỏa hào quang rực rỡ sẽ hiện thân bên bờ sông Nile... Nàng là con gái nữ thần sông Nile Hapi. Với dung mạo kiều diễm tự...",43,3000,10,4.8,4,Nhiều tác giả,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,Nhà Xuất Bản Kim Đồng,,11.3x17.6 cm,,216,,,,,,,
Sách - Khoá Học Cấp Tốc Về Tư Bản Và Tiền Bạc - Bài Học Từ Thành Phố Đắt Đỏ Nhất Thế Giới,149000,199000,199000,"[Hàng đặt trước - Dự kiến có hàng ngày 15/06/2025]Cẩm nang tài chính cá nhân bằng truyện tranh – dí dỏm, dịu dàng, nhưng cũng không kém phần “sát thương” bởi vì quá thực tế.Trong khi bạn bè đang che...",139,50000,25,5.0,4,N/A,Công ty TNHH Truyền Thông Giver,2025-05-20 16:41:57,Bìa mềm,,Nhà Xuất Bản Thế Giới,,,,332,,,,,,,
Lần Đầu Làm Mẹ - Tổng Hợp Những Kiến Thức Mới Nhất Về Mang Thai Và Sinh Nở,196000,260000,260000,"Lần Đầu Làm Mẹ - Tổng Hợp Những Kiến Thức Mới Nhất Về Mang Thai Và Sinh Nở (Tái Bản)Giới thiệu tác giảMasato Takeuchi là một bác sĩ sản phụ khoa nổi tiếng người Nhật Bản, được nhiều người biết đến q...",5674,64000,25,5.0,428,Masato Takeuchi,Thái Hà,2021-05-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Lao Động,Phiên bản thường,18 x 23 cm,La Minh Nhật,352,,,,,,,Tiếng Việt
Mô Hình Kinh Doanh Chiến Thắng,168000,168000,168000,Bạn đang đối mặt với thách thức:- Làm sao để doanh nghiệp vượt lên giữa thương trường đầy sóng gió và đối thủ bủa vây?- Làm sao để không mãi rơi vào vòng xoáy giá rẻ – chất lượng mà vẫn thua lỗ?- L...,39,0,0,5.0,1,Lâm Bình Bảo,Thái Hà,,,,Nhà Xuất Bản Công Thương,,13x20.5 cm,,292,,,,,,Có,
Toán học - Khái lược những tư tưởng lớn,344000,450000,450000,"Số ảo là gì? Liệu hai đường thẳng song song có bao giờ gặp nhau? Làm cách nào để toán học giúp chúng ta dự đoán tương lai? Xuyên suốt chiều dài lịch sử, các nhà toán học đã đặt ra những câu hỏi lớn nh...",29,106000,24,5.0,1,DK,Công Ty Cổ Phần Văn Hóa Đông A,2025-04-25 00:00:00,Bìa cứng,,Nhà Xuất Bản Dân Trí,,"19,3 x 23,5 cm","Lê Hương Ly, Nguyễn Thị Bình",352,,,,,,,
Nghịch lý 13,166000,259000,259000,"13 giờ, 13 phút, 13 giây, con người biến mất.Trong thành phố Tokyo hoang vắng chỉ còn lại mười ba người. Mười ba con người đủ già trẻ nam nữ, với đủ loại hoàn cảnh và câu chuyện khác nhau. Tại sao họ...",90,93000,36,5.0,6,Higashino Keigo,Nhã Nam,2025-03-13 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,,14 x 20.5 x 2.8 cm,Lan Bình,560,,,,,,,
Sách Song Ngữ Lời Thì Thầm Trong Tổ Ấm - Whispers In The Home - Chính Hãng + Mã File Nghe,182160,198000,198000,"""Lời Thì Thầm Trong Tổ Ấm"" là một cuốn sách song ngữ Anh-Việt, giúp người đọc cải thiện kỹ năng tiếng Anh thông qua việc đọc song ngữ. Nội dung sách tập trung vào những câu chuyện gia đình, tình cảm...",785,15840,8,5.0,27,N/A,NXB Lao Động,2025-02-19 00:41:13,Bìa cứng,,Nhà Xuất Bản Lao Động,,,,280,,,,,,,
Thế Hệ Lo Âu,153430,229000,229000,"Ngành công nghệ không chỉ thay đổi cuộc sống của người lớn. Nó cũng bắt đầu thay đổi cuộc sống của trẻ em. Từ những năm 1950, thiếu nhi và thanh thiếu niên đã xem truyền hình rất nhiều, nhưng các công...",12,75570,33,0.0,0,Jonathan Haidt,1980 Books,2024-12-31 00:00:00,Bìa mềm,,Nhà Xuất Bản Công Thương,,13 x 20.5 cm,Mokona,439,,,,,,Có,
Chuyện Con Mèo Dạy Hải Âu Bay,42000,60000,60000,"Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2019)Giới thiệu tác giảSinh năm 1949 tại Chile, Luis Sepúlveda đã trải qua những năm tháng đầy biến động dưới chế độ độc tài của Augusto Pinochet. Chính những ...",30591,18000,30,5.0,2799,Luis Sepulveda,Nhã Nam,2019-06-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,Phiên bản thường,14 x 20.5 cm,Phương Huyên,144,,,,,,,Tiếng Việt
Tiệm sách của nàng (Nguyễn Nhật Ánh),99600,125000,125000,"Quà tặng kèm cho mỗi phiên bản sách: 1 bookmark dạng photostrip và 1 sổ tay ""Tiệm sách của nàng"" (màu ngẫu nhiên)Tiki sẽ giao ngẫu nghiên số lượng giới hạn sách có chữ ký tác giả. Bối cảnh là một tiệm...",1164,25400,20,5.0,84,Nguyễn Nhật Ánh,NXB Trẻ,2024-12-06 14:16:31,,,NXB Trẻ,,,,272,,,,,,,
Combo 4 cuốn: ChatGPT + ChatGPT thực chiến + AI 5.0 + AI Công cụ nâng cao hiệu suất,480000,716000,716000,"BỘ SÁCH GIÚP BẠN TRANG BỊ KIẾN THỨC VÀ KỸ NĂNG SỬ DỤNG CÁC CÔNG CỤ AI Trước sự phát triển mạnh mẽ của công nghệ và trí tuệ nhân tạo, việc có kiến thức và kỹ năng sử dụng các công cụ AI trở thành một...",599,236000,33,4.7,23,N/A,1980 Books,,,,Nhà Xuất Bản Dân Trí,,,,,,,,,,,
38 lá thư Rockefeller gửi cho con trai,121000,158000,158000,Nhắc đến tỷ phú John Davison Rockefeller Sr. là nhắc đến sự giàu có tột bậc. Ông Vua dầu mỏ này được xem là người Mỹ giàu có nhất mọi thời đại và người giàu nhất trong lịch sử hiện đại. Không chỉ là d...,520,37000,23,5.0,30,Bizbooks biên soạn,Công ty CP Sách Bizbooks,2024-03-19 00:00:00,Bìa mềm,,Nhà Xuất Bản Hồng Đức,,14 x 20.5 cm,,299,,,,,,,
SÁCH SƠ CỨU 360 - Cẩm nang tri thức sơ cứu và xử lý mọi tình huống ( sản phẩm chính hãng),190000,250000,250000,"Cuốn sách bao gồm: 11 chương giúp bạn nắm được những kiến thức để trở thành người sơ cấp cứu, giúp đỡ được bản thân và những người xung quanh khi gặp những tai nạn thương tích. Chủ đề 1: Trở thành ngư...",392,60000,24,4.7,19,N/A,Nhà Xuất Bản Lao Động,,,,Nhà Xuất Bản Lao Động,,,,,,,,,,,
Luật Tâm Thức – Vũ Trụ Nhất Nguyên Luận,207360,288000,288000,"Hãy hiểu luật tâm thức để thực sự thức tỉnh trong “thời đại tỉnh thức”.Con người, dù là theo phái duy vật hay duy tâm, ăn chay hay ăn mặn, có tìm hiểu tâm linh hay không, thì điều cuối cùng chúng ta ...",1799,80640,28,4.7,116,Ngô Sa Thạch,Skybooks,,Bìa mềm,,Nhà Xuất Bản Lao Động,,"15,7x24 cm",,480,,,,,,Có,
Siêu Nhí Hỏi Nhà Khoa Học Trả Lời - 100 Bí Ẩn Mọi Đứa Trẻ Đều Muốn Hỏi Một Nhà Khoa Học,200000,299000,299000,"Siêu Nhí Hỏi Nhà Khoa Học Trả Lời - 100 Bí Ẩn Mọi Đứa Trẻ Đều Muốn Hỏi Một Nhà Khoa HọcLời nói đầu/Giới thiệu sách“Tại sao bầu trời có màu xanh?”, “Tại sao các ngôi sao lấp lánh?’’, “Tại sao nước s...",8450,99000,33,4.8,1389,Robert Winston,1980 Books,2020-04-01 00:00:00,Bìa cứng,,Nhà Xuất Bản Dân Trí,Phiên bản thường,21 x 27 cm,1980 Books,128,,,,,,,
Xứ Sở Miên Man,158400,220000,220000,"Xứ Sở Miên ManGiới thiệu tác giảJun Phạm, tên thật là Phạm Duy Thuận, không chỉ được biết đến là một ca sĩ, diễn viên tài năng mà còn là một nhà văn trẻ đầy triển vọng. Anh từng là thành viên của n...",1888,61600,28,5.0,134,Jun Phạm (365 Band),Skybooks,2023-01-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Phụ Nữ Việt Nam,Phiên bản thường,14.5x20.5 cm,,264,,,,,,,Tiếng Việt
Tuổi Thơ Dữ Dội - Tập 2,52003,80000,80000,"Tuổi Thơ Dữ Dội - Tập 2Giới thiệu tác giảPhùng Quán, một cây bút tài hoa của văn học Việt Nam, đã để lại dấu ấn sâu đậm trong lòng độc giả qua những tác phẩm giàu cảm xúc và ý nghĩa. Ông sở hữu một...",2685,27997,35,5.0,359,Phùng Quán,Nhà Xuất Bản Kim Đồng,2019-12-26 00:00:00,Bìa mềm,,Nhà Xuất Bản Kim Đồng,Phiên bản thường,13.5 x 20.5 cm,,400,,,,,,,Tiếng Việt
Kế Toán Vỉa Hè - Thực Hành Báo Cáo Tài Chính Căn Bản Từ Quầy Bán Nước Chanh,153000,199000,199000,"BIẾN KẾ TOÁN KHÔ KHAN TRỞ THÀNH TRÒ CHƠI CON TRẺ, DỄ HIỂU VÀ DỄ ÁP DỤNGĐã bao lần bạn cầm trên tay bảng báo cáo tài chính doanh nghiệp của mình, nhưng chẳng thể nào hiểu nổi? Kế toán và tài chính là...",13,46000,23,5.0,1,N/A,Công ty TNHH Truyền Thông Giver,,Bìa mềm,,Nhà Xuất Bản Thế Giới,,,Trần Thanh Phong,268,,,,,,,
Chú bé mang Pyjama sọc,55050,79000,79000,"Rất khó miêu tả câu chuyện về Chú bé mang pyjama sọc này. Thường thì chúng tôi vẫn tiết lộ vài chi tiết về cuốn sách trên bìa, nhưng trong trường hợp này chúng tôi nghĩ làm như vậy sẽ làm hỏng cảm giá...",1521,23950,30,5.0,142,John Boyne,Nhã Nam,2023-02-02 00:00:00,Bìa mềm,,Nhà Xuất Bản Hội Nhà Văn,Phiên bản thường,13 x 20.5 cm,Lê Nguyễn Lê,253,,,,,,,
Con người và Biểu tượng - Man and his symbols,315000,450000,450000,CON NGƯỜI VÀ BIỂU TƯỢNG là tác phẩm đầu tiên và duy nhất trong đó Carl Gustav Jung giải thích cho độc giả phổ thông đóng góp lớn nhất của ông cho hiểu biết về tâm trí con người: lý thuyết về tầm quan ...,2065,135000,30,4.8,197,Carl Gustav Jung,Nhã Nam,2022-12-01 00:00:00,Bìa cứng,,Nhà Xuất Bản Thế Giới,Phiên bản thường,17 x 25 cm,Mai Sơn,522,,,,,,,
Nỗi buồn chiến tranh,106000,130000,130000,"Tác phẩm là dòng hồi ức của người lính về chiến tranh và thời tuổi trẻ đã trải qua trong bom đạn. Đó là lòng tiếc thương vô hạn đối với những người cùng thế hệ với mình đã nằm xuống, là ám ảnh về thân...",3285,24000,18,5.0,298,Bảo Ninh,NXB Trẻ,2022-08-22 00:00:00,Bìa mềm,,NXB Trẻ,Phiên bản thường,13x20cm,,348,,,,,,,
Để Con Được Ốm,84000,120000,120000,"Để Con Được Ốm“Để con được ốm cần có sự kiên nhẫn giải thích hay thuyết phục của bác sĩ cùng sự thông hiểu và hợp tác từ phía gia đình bé. Đôi khi, sự hợp tác và hiểu biết của phụ huynh còn quan trọ...",3609,36000,30,5.0,104,Uyên Bùi,Nhã Nam,2022-07-07 00:00:00,Bìa cứng,,Nhà Xuất Bản Thế Giới,Phiên bản thường,"14 x 20,5cm",,316,,,,,,,
Harry Potter và Hòn đá phù thủy (Tái Bản 2022),120000,150000,150000,"Khi một lá thư được gởi đến cho cậu bé Harry Potter bình thường và bất hạnh, cậu khám phá ra một bí mật đã được che giấu suốt cả một thập kỉ. Cha mẹ cậu chính là phù thủy và cả hai đã bị lời nguyền củ...",7,30000,20,5.0,1,J.K.Rowling,NXB Trẻ,2022-08-01 00:00:00,Bìa mềm,,NXB Trẻ,,14 x 20 cm,,,,,,,,,
Lược Sử Thời Gian,85000,115000,115000,"Tò mò là một trong những phẩm chất bẩm sinh vô cùng quan trọng của chúng ta, và những vấn đề như Bản chất của vũ trụ là gì? Vũ trụ từ đâu ra? Chúng ta đến từ đâu và đóng vai trò gì trong vũ trụ? Có gi...",1232,30000,26,5.0,148,Stephen Hawking,NXB Trẻ,2022-06-01 00:00:00,Bìa mềm,,NXB Trẻ,Phiên bản thường,14x20cm,"Cao Chi, Phạm Văn Thiều",286,,,,,,,
Ngôi Nhà Bên Bờ Biển Xanh Thẳm,133243,199000,199000,"Ngôi Nhà Bên Bờ Biển Xanh Thẳm(The House in the Cerulean Sea – T.J.Klune)Sách bán chạy của New York Times, USA Today và Washington Post.Đoạt giải thưởng Alex Awards 2021 - Giải thưởng hàng năm tôn ...",3408,65757,33,5.0,501,T.J.Klune,Asbooks,2022-04-30 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,Phiên bản thường,14 x 20.5 cm,Jack Frogg,640,,,,,,,
Đừng Bao Giờ Chia Đôi Lợi Ích Trong Mọi Cuộc Đàm Phán,130000,179000,179000,"Đừng bao giờ chia đôi lợi ích trong mọi cuộc đàm phán – có thể bạn sẽ ngạc nhiên khi biết rằng đây chính là lời khuyên từ một chuyên gia đàm phán giải cứu con tin dày dạn kinh nghiệm của FBI, khi mà q...",1669,49000,27,5.0,89,Chris Voss,Alphabooks,2022-03-03 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,Phiên bản thường,13x20.5cm,Phan Ngọc Lệ Minh,420,,,,,,,
Từ Vựng IELTS 8.0 - Từ Vựng Đắt Để Đạt Điểm Cao 4 Kỹ Năng,99000,135000,135000,Từ vựng IELTS 8.0 - Từ vựng đắt để đạt điểm cao 4 kỹ năng là cuốn sách tổng hợp 15 chủ đề Từ vựng chất lượng giúp bạn đạt điểm cao cả 4 kỹ năng IELTS.ƯU ĐIỂM NỔI BẬT CỦA BỘ SÁCHCuốn sách tổng hợp 1...,4358,36000,27,5.0,553,Lê Thu Hà,Megabook,2022-02-02 00:00:00,Bìa mềm,,Nhà Xuất Bản Hà Nội,Phiên bản thường,16 x 24 cm,,204,,,,,,,
Trắng,63200,79000,79000,"Ngày dự kiến có hàng : 15/11/2024Trắng xóa nhòa ranh giới của các thể loại, làm mờ lằn ranh giữa tự truyện và văn chương – trở thành một trong những tác phẩm đặc biệt và riêng tư nhất của Han Kang.T...",275,15800,20,4.7,14,Han Kang,Nhã Nam,2021-06-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Hà Nội,,14 x 20.5 cm,Hà Linh,100,,,,,,,
7 Thói Quen Hiệu Quả (The 7 Habits Of Highly Effective People) - Stephen R. Covey - PACE Books,183000,250000,250000,"“7 Habits” không chỉ là tên của một tác phẩm kinh điển về quản trị, tên của một chương trình đào tạo danh tiếng toàn cầu, mà còn là tên của một nền văn hóa mới, một cách sống mới, nền văn hóa, một các...",9015,67000,27,5.0,978,Stephen R. Covey,Viện Quản lý PACE,2021-04-15 00:00:00,Bìa cứng,,Nhà Xuất Bản Tổng hợp TP.HCM,Phiên bản thường,15 x 23 cm,"Hoàng Trung, Trí Thể, Uyên Phương, Thanh Hà, Trần Huỳnh",536,,,,,,,
Bí Mật Của May Mắn (Khổ Nhỏ)(Tái Bản),38700,45000,45000,"Câu chuyện trong Bí mật của May mắn hấp dẫn như câu chuyện thần thoại với những chân lý thực tế và vĩnh hằng của cuộc sống, mang lại cho người đọc, niềm tin, hy vọng, những trải nghiệm quý báu, đồng t...",780,6300,14,4.8,70,Alex Rovira,First News - Trí Việt,2021-03-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Tổng hợp TP.HCM,,11.5 x 16.5 cm,Nguyễn Văn Phước-Khánh Thủy,160,,,,,,,
Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),228000,319000,319000,"Ắt hẳn ai trong chúng ta cũng đều đã từng là nạn nhân của những bản thuyết trình tra tấn thị giác, hay phải choáng váng với những ma trận phông chữ, màu sắc, những mục đầu dòng và thông tin đáng lưu t...",12618,91000,29,5.0,1921,Cole Nussbaumer Knaflic,Sunbook,2021-01-12 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,Phiên bản thường,18.5 x 23 cm,Hồ Vũ Thanh Phong,280,,,,,,,
Được Học (Tái Bản),143000,182000,182000,"Bill Gates, vị tỷ phú từng bỏ học (thậm chí chưa được “nửa chừng”) tại ngôi trường danh giá hàng đầu thế giới – Đại học Harvard – cũng đã đọc và tỏ lòng yêu mến cuốn sách với tựa gốc là Educated.Cuốn...",2429,39000,21,5.0,299,Tara Westover,NXB Phụ Nữ Việt Nam,2021-01-12 00:00:00,Bìa mềm,,Nhà Xuất Bản Phụ Nữ Việt Nam,Phiên bản thường,15.5 x 23.5 cm,Nguyễn Bích Lan,446,,,,,,,
Charlie Và Nhà Máy Sô Cô La (Tái Bản 2021),57000,60000,60000,"Ngài Willy Wonka là người sản xuất sôcôla lạ lùng nhất, kì quái nhất và cũng phi thường nhất trên thế giới này!Chuyến phiêu lưu kì thú của Charlie Bucket bắt đầu khi cậu bé tìm thấy một chiếc Vé Vàng...",179,3000,5,5.0,23,Roald Dahl,NXB Kim Đồng,2021-01-01 10:32:16,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Kim Đồng,,13 x 20 cm,Dương Tường,224,,,,,,,
Sách OSHO Yêu - Being In Love - Yêu Trong Tỉnh Thức,126000,168000,168000,"“YÊU” TRONG TỈNH THỨC VỚI OSHOMột chỉ dẫn “yêu không sợ hãi” đầy ngạc nhiên từ bậc thầy tâm linh Osho Những người đói khát trong nhu cầu, những người luôn kỳ vọng ở tình yêu chính là những người đau k...",1556,42000,25,5.0,259,Osho,First News - Trí Việt,2021-01-01 00:00:00,Bìa gập,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM,,14.5 x 20.5 cm,Lâm Đặng Cam Thảo,350,,,,,,,
Những Tù Nhân Của Địa Lý,168000,210000,210000,"“Khi chúng ta đang vươn tới những vì sao, chính bởi những thách thức đặt ra phía trước mà chúng ta có lẽ sẽ phải chung tay để ứng phó: du hành vào vũ trụ không phải với tư cách người Nga, người Trung ...",1353,42000,20,5.0,219,Tim Marshall,Nhã Nam,2020-12-11 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Hội Nhà Văn,,14 x 20.5 cm,Phan Linh Lan,430,,,,,,,
Xa Ngoài Kia Nơi Loài Tôm Hát - Where The Crawdads Sing,148500,165000,165000,Xa Ngoài Kia Nơi Loài Tôm Hát   Sáu triệu bản bán ra trên toàn thế giới58 tuần trong danh sách bán chạy của New York TimesDẫn đầu mục tiểu thuyết bán chạy của Amazon trong năm 2019   Trong nhiều năm...,137,16500,10,4.8,38,Delia Owens,NXB Trẻ,,,Nhà bán giao hàng cho khách hàng,NXB Trẻ,,,,,,,,,,,
Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),75400,98000,98000,"NGƯỜI GIÀU CÓ NHẤT THÀNH BABYLONNgười giàu có nhất thành Babylon (tiếng Anh: The Richest Man in Babylon) được xem là một trong những tác phẩm truyền cảm hứng lớn nhất về chủ đề tiết kiệm, kế hoạch tài...",2431,22600,23,5.0,354,GEORGE SAMUEL CLASON,First News - Trí Việt,2020-06-01 00:00:00,Bìa gập,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Tổng hợp TP.HCM,,13 x 20.5 cm,Võ Hưng Thanh,216,,,,,,,
Phía Sau Nghi Can X (Tái Bản 2019),90045,129000,129000,"“Việc nghĩ ra một bài toán vô cùng khó và việc giải bài toán đó, việc nào khó hơn?”Khi nhấn chuông cửa nhà nghi can chính của một vụ án mới, điều tra viên Kusanagi không biết rằng anh sắp phải đương ...",19511,38955,30,4.8,3542,Higashino Keigo,Nhã Nam,2019-05-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Hội Nhà Văn,Phiên bản thường,14 x 20.5 cm,Trương Thùy Lan,396,,,,,,,
Ngàn Mặt Trời Rực Rỡ (Tái Bản),104000,130000,130000,"Bốn thập kỷ biến động và ly tán ở Afghanistan, một lối dẫn dắt chân thực bậc thầy, câu chuyện về những số phận bị vùi dập nhưng đầy ám ảnh. Với Ngàn mặt trời rực rỡ, Khaled Hossini đã chứng minh thành...",367,26000,20,5.0,65,Khailed Hosseini,Nhã Nam,2018-12-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,
